# N0-SQE,   N0-GMV,  N1-SQE,  N1-GMV,  N0-SQE(curl), N0-GMV(curl)
1.09485e-16 1.01341e-16 5.20305e-18 4.95810e-18 7.99809e-17 7.42251e-17
1.07671e-16 9.96768e-17 5.12008e-18 4.88112e-18 7.85143e-17 7.28702e-17
1.05899e-16 9.80495e-17 5.03898e-18 4.80585e-18 7.70828e-17 7.15477e-17
1.04166e-16 9.64580e-17 4.95970e-18 4.73226e-18 7.56855e-17 7.02567e-17
1.02471e-16 9.49015e-17 4.88219e-18 4.66029e-18 7.43214e-17 6.89962e-17
1.00813e-16 9.33788e-17 4.80639e-18 4.58990e-18 7.29895e-17 6.77654e-17
9.91919e-17 9.18892e-17 4.73225e-18 4.52103e-18 7.16888e-17 6.65634e-17
9.76057e-17 9.04315e-17 4.65973e-18 4.45366e-18 7.04186e-17 6.53894e-17
9.60537e-17 8.90050e-17 4.58878e-18 4.38773e-18 6.91779e-17 6.42426e-17
9.45351e-17 8.76089e-17 4.51936e-18 4.32320e-18 6.79659e-17 6.31222e-17
9.30488e-17 8.62422e-17 4.45143e-18 4.26005e-18 6.67818e-17 6.20275e-17
9.15939e-17 8.49041e-17 4.38495e-18 4.19822e-18 6.56248e-17 6.09578e-17
9.01697e-17 8.35940e-17 4.31988e-18 4.13769e-18 6.44941e-17 5.99123e-17
8.87753e-17 8.23110e-17 4.25617e-18 4.07841e-18 6.33890e-17 5.88904e-17
8.74098e-17 8.10544e-17 4.19380e-18 4.02036e-18 6.23088e-17 5.78915e-17
8.60726e-17 7.98235e-17 4.13272e-18 3.96350e-18 6.12528e-17 5.69149e-17
8.47628e-17 7.86177e-17 4.07291e-18 3.90780e-18 6.02204e-17 5.59600e-17
8.34798e-17 7.74362e-17 4.01432e-18 3.85322e-18 5.92109e-17 5.50262e-17
8.22228e-17 7.62785e-17 3.95692e-18 3.79974e-18 5.82237e-17 5.41129e-17
8.09911e-17 7.51439e-17 3.90069e-18 3.74733e-18 5.72582e-17 5.32196e-17
7.97841e-17 7.40318e-17 3.84558e-18 3.69595e-18 5.63138e-17 5.23458e-17
7.86012e-17 7.29416e-17 3.79158e-18 3.64558e-18 5.53899e-17 5.14909e-17
7.74417e-17 7.18728e-17 3.73864e-18 3.59620e-18 5.44860e-17 5.06544e-17
7.63049e-17 7.08249e-17 3.68675e-18 3.54777e-18 5.36016e-17 4.98358e-17
