# N0-SQE,   N0-GMV,  N1-SQE,  N1-GMV,  N0-SQE(curl), N0-GMV(curl)
7.41362e-18 6.78060e-18 2.07364e-18 2.03849e-18 3.08959e-18 2.88361e-18
7.31067e-18 6.68649e-18 2.04496e-18 2.01075e-18 3.04529e-18 2.84233e-18
7.20952e-18 6.59402e-18 2.01677e-18 1.98347e-18 3.00181e-18 2.80180e-18
7.11012e-18 6.50315e-18 1.98905e-18 1.95663e-18 2.95912e-18 2.76201e-18
7.01246e-18 6.41384e-18 1.96180e-18 1.93023e-18 2.91721e-18 2.72294e-18
6.91647e-18 6.32607e-18 1.93500e-18 1.90426e-18 2.87605e-18 2.68457e-18
6.82214e-18 6.23979e-18 1.90864e-18 1.87871e-18 2.83563e-18 2.64690e-18
6.72943e-18 6.15499e-18 1.88272e-18 1.85357e-18 2.79594e-18 2.60990e-18
6.63829e-18 6.07163e-18 1.85722e-18 1.82884e-18 2.75696e-18 2.57355e-18
6.54871e-18 5.98967e-18 1.83214e-18 1.80450e-18 2.71867e-18 2.53786e-18
6.46064e-18 5.90910e-18 1.80747e-18 1.78055e-18 2.68106e-18 2.50279e-18
6.37406e-18 5.82987e-18 1.78321e-18 1.75698e-18 2.64412e-18 2.46835e-18
6.28893e-18 5.75198e-18 1.75933e-18 1.73378e-18 2.60782e-18 2.43451e-18
6.20522e-18 5.67538e-18 1.73584e-18 1.71095e-18 2.57216e-18 2.40126e-18
6.12291e-18 5.60004e-18 1.71273e-18 1.68847e-18 2.53712e-18 2.36859e-18
6.04197e-18 5.52596e-18 1.68999e-18 1.66635e-18 2.50270e-18 2.33649e-18
5.96236e-18 5.45309e-18 1.66761e-18 1.64457e-18 2.46887e-18 2.30494e-18
5.88407e-18 5.38142e-18 1.64559e-18 1.62313e-18 2.43562e-18 2.27394e-18
5.80707e-18 5.31093e-18 1.62391e-18 1.60203e-18 2.40295e-18 2.24347e-18
