# N0-SQE,   N0-GMV,  N1-SQE,  N1-GMV,  N0-SQE(curl), N0-GMV(curl)
4.25808e-16 4.14825e-16 6.33711e-18 6.36513e-18 5.76959e-16 5.62018e-16
4.20687e-16 4.09841e-16 6.28886e-18 6.31828e-18 5.69202e-16 5.54456e-16
4.15639e-16 4.04928e-16 6.24110e-18 6.27187e-18 5.61580e-16 5.47027e-16
4.10662e-16 4.00084e-16 6.19381e-18 6.22586e-18 5.54091e-16 5.39726e-16
4.05755e-16 3.95309e-16 6.14698e-18 6.18025e-18 5.46731e-16 5.32551e-16
4.00917e-16 3.90600e-16 6.10059e-18 6.13501e-18 5.39498e-16 5.25500e-16
3.96146e-16 3.85956e-16 6.05461e-18 6.09013e-18 5.32388e-16 5.18570e-16
3.91440e-16 3.81377e-16 6.00903e-18 6.04559e-18 5.25400e-16 5.11758e-16
3.86799e-16 3.76860e-16 5.96385e-18 6.00139e-18 5.18530e-16 5.05061e-16
3.82221e-16 3.72405e-16 5.91903e-18 5.95750e-18 5.11777e-16 4.98477e-16
3.77706e-16 3.68011e-16 5.87456e-18 5.91390e-18 5.05137e-16 4.92004e-16
3.73251e-16 3.63676e-16 5.83042e-18 5.87058e-18 4.98608e-16 4.85640e-16
3.68856e-16 3.59399e-16 5.78660e-18 5.82752e-18 4.92188e-16 4.79381e-16
3.64520e-16 3.55179e-16 5.74308e-18 5.78470e-18 4.85875e-16 4.73227e-16
3.60241e-16 3.51016e-16 5.69985e-18 5.74213e-18 4.79665e-16 4.67174e-16
3.56019e-16 3.46907e-16 5.65690e-18 5.69977e-18 4.73558e-16 4.61220e-16
3.51853e-16 3.42853e-16 5.61421e-18 5.65763e-18 4.67551e-16 4.55364e-16
3.47741e-16 3.38852e-16 5.57177e-18 5.61568e-18 4.61642e-16 4.49604e-16
3.43682e-16 3.34903e-16 5.52957e-18 5.57392e-18 4.55829e-16 4.43937e-16
3.39676e-16 3.31005e-16 5.48759e-18 5.53235e-18 4.50109e-16 4.38361e-16
3.35722e-16 3.27157e-16 5.44584e-18 5.49095e-18 4.44482e-16 4.32875e-16
3.31819e-16 3.23359e-16 5.40430e-18 5.44971e-18 4.38945e-16 4.27477e-16
3.27966e-16 3.19610e-16 5.36296e-18 5.40862e-18 4.33496e-16 4.22166e-16
3.24162e-16 3.15909e-16 5.32182e-18 5.36769e-18 4.28134e-16 4.16938e-16
3.20406e-16 3.12254e-16 5.28087e-18 5.32690e-18 4.22856e-16 4.11793e-16
3.16698e-16 3.08646e-16 5.24010e-18 5.28625e-18 4.17662e-16 4.06730e-16
3.13036e-16 3.05083e-16 5.19950e-18 5.24574e-18 4.12548e-16 4.01745e-16
3.09420e-16 3.01566e-16 5.15908e-18 5.20536e-18 4.07515e-16 3.96839e-16
3.05850e-16 2.98092e-16 5.11881e-18 5.16510e-18 4.02560e-16 3.92009e-16
3.02324e-16 2.94661e-16 5.07871e-18 5.12495e-18 3.97682e-16 3.87253e-16
2.98842e-16 2.91273e-16 5.03875e-18 5.08492e-18 3.92879e-16 3.82571e-16
2.95403e-16 2.87928e-16 4.99893e-18 5.04499e-18 3.88149e-16 3.77961e-16
2.92007e-16 2.84623e-16 4.95924e-18 5.00516e-18 3.83492e-16 3.73421e-16
