#    L    TT             EE             BB             TE          
   329   0.314174E+04   0.144912E+02   0.350288E-01   0.113511E+03
   330   0.311008E+04   0.146742E+02   0.351586E-01   0.112756E+03
   331   0.307872E+04   0.148564E+02   0.352879E-01   0.111971E+03
   332   0.304751E+04   0.150387E+02   0.354165E-01   0.111155E+03
   333   0.301653E+04   0.152194E+02   0.355445E-01   0.110301E+03
   334   0.298585E+04   0.153994E+02   0.356719E-01   0.109410E+03
   335   0.295531E+04   0.155771E+02   0.357988E-01   0.108481E+03
   336   0.292508E+04   0.157541E+02   0.359251E-01   0.107522E+03
   337   0.289515E+04   0.159303E+02   0.360508E-01   0.106518E+03
   338   0.286544E+04   0.161043E+02   0.361761E-01   0.105491E+03
   339   0.283611E+04   0.162783E+02   0.363009E-01   0.104427E+03
   340   0.280700E+04   0.164501E+02   0.364251E-01   0.103339E+03
   341   0.277813E+04   0.166196E+02   0.365490E-01   0.102206E+03
   342   0.274962E+04   0.167891E+02   0.366723E-01   0.101043E+03
   343   0.272142E+04   0.169556E+02   0.367953E-01   0.998501E+02
   344   0.269359E+04   0.171206E+02   0.369178E-01   0.986266E+02
   345   0.266599E+04   0.172834E+02   0.370400E-01   0.973728E+02
   346   0.263876E+04   0.174455E+02   0.371618E-01   0.960962E+02
   347   0.261184E+04   0.176045E+02   0.372833E-01   0.947818E+02
   348   0.258529E+04   0.177613E+02   0.374044E-01   0.934371E+02
   349   0.255905E+04   0.179166E+02   0.375253E-01   0.920621E+02
   350   0.253318E+04   0.180689E+02   0.376459E-01   0.906642E+02
   351   0.250783E+04   0.182198E+02   0.377662E-01   0.892360E+02
   352   0.248264E+04   0.183683E+02   0.378863E-01   0.877775E+02
   353   0.245790E+04   0.185139E+02   0.380062E-01   0.863035E+02
   354   0.243347E+04   0.186573E+02   0.381259E-01   0.847919E+02
   355   0.240948E+04   0.187984E+02   0.382454E-01   0.832574E+02
   356   0.238587E+04   0.189373E+02   0.383649E-01   0.817075E+02
   357   0.236263E+04   0.190732E+02   0.384842E-01   0.801275E+02
   358   0.233985E+04   0.192054E+02   0.386034E-01   0.785320E+02
   359   0.231737E+04   0.193353E+02   0.387225E-01   0.769064E+02
   360   0.229534E+04   0.194630E+02   0.388416E-01   0.752618E+02
   361   0.227369E+04   0.195877E+02   0.389607E-01   0.735937E+02
   362   0.225248E+04   0.197094E+02   0.390797E-01   0.719051E+02
   363   0.223166E+04   0.198289E+02   0.391988E-01   0.701982E+02
   364   0.221128E+04   0.199439E+02   0.393179E-01   0.684695E+02
   365   0.219128E+04   0.200566E+02   0.394372E-01   0.667247E+02
   366   0.217174E+04   0.201664E+02   0.395564E-01   0.649610E+02
   367   0.215264E+04   0.202717E+02   0.396759E-01   0.631806E+02
   368   0.213385E+04   0.203748E+02   0.397954E-01   0.613850E+02
   369   0.211565E+04   0.204749E+02   0.399151E-01   0.595720E+02
   370   0.209783E+04   0.205712E+02   0.400350E-01   0.577468E+02
   371   0.208039E+04   0.206638E+02   0.401550E-01   0.559056E+02
   372   0.206340E+04   0.207535E+02   0.402753E-01   0.540531E+02
   373   0.204687E+04   0.208394E+02   0.403958E-01   0.521861E+02
   374   0.203078E+04   0.209224E+02   0.405166E-01   0.503085E+02
   375   0.201507E+04   0.210016E+02   0.406377E-01   0.484202E+02
   376   0.199989E+04   0.210778E+02   0.407591E-01   0.465212E+02
   377   0.198516E+04   0.211496E+02   0.408808E-01   0.446146E+02
   378   0.197080E+04   0.212176E+02   0.410028E-01   0.426973E+02
   379   0.195690E+04   0.212826E+02   0.411252E-01   0.407739E+02
   380   0.194353E+04   0.213447E+02   0.412480E-01   0.388421E+02
   381   0.193053E+04   0.214001E+02   0.413711E-01   0.369048E+02
   382   0.191791E+04   0.214540E+02   0.414947E-01   0.349630E+02
   383   0.190581E+04   0.215034E+02   0.416188E-01   0.330150E+02
   384   0.189425E+04   0.215483E+02   0.417432E-01   0.310645E+02
   385   0.188298E+04   0.215910E+02   0.418682E-01   0.291102E+02
   386   0.187225E+04   0.216292E+02   0.419937E-01   0.271543E+02
   387   0.186189E+04   0.216630E+02   0.421196E-01   0.251966E+02
   388   0.185198E+04   0.216930E+02   0.422461E-01   0.232389E+02
   389   0.184253E+04   0.217171E+02   0.423732E-01   0.212809E+02
   390   0.183353E+04   0.217405E+02   0.425008E-01   0.193251E+02
   391   0.182498E+04   0.217586E+02   0.426290E-01   0.173698E+02
   392   0.181681E+04   0.217745E+02   0.427578E-01   0.154182E+02
   393   0.180917E+04   0.217851E+02   0.428872E-01   0.134694E+02
   394   0.180191E+04   0.217921E+02   0.430173E-01   0.115256E+02
